CustomerID,Recency,Frequency,Monetary,Cluster
12347.0,96,5,2540.29,1
12348.0,221,1,367.0,0
12350.0,312,1,334.4,0
12352.0,275,3,1296.38,1
12355.0,97,1,459.4,0
12356.0,129,1,481.46000000000004,0
12357.0,183,1,6207.67,1
12358.0,4,2,1168.06,3
12359.0,10,3,3495.73,3
12362.0,31,5,2135.79,2
12363.0,37,1,299.1,0
12364.0,302,1,310.32,0
12367.0,213,1,168.9,0
12370.0,69,1,938.39,1
12371.0,31,1,1527.96,1
12372.0,36,1,515.7,0
12373.0,343,1,364.6,0
12375.0,305,1,230.3,0
12378.0,306,1,4008.62,1
12380.0,158,1,607.5500000000001,0
12381.0,1,5,1845.31,3
12383.0,10,2,750.61,3
12384.0,30,2,585.27,1
12386.0,193,2,401.9,0
12388.0,99,2,334.95000000000005,0
12393.0,40,2,884.1,1
12394.0,154,2,1272.48,1
12395.0,6,7,1762.63,2
12397.0,244,1,1195.09,1
12399.0,3,3,820.6,3
12401.0,100,1,84.3,0
12406.0,96,1,1621.25,1
12407.0,187,1,719.06,0
12408.0,153,2,1396.78,1
12409.0,66,1,6207.08,1
12410.0,253,2,693.3299999999999,1
12413.0,193,2,673.45,1
12414.0,189,2,319.61,0
12415.0,71,10,44582.79,2
12417.0,182,4,1572.48,1
12420.0,154,1,600.39,0
12422.0,216,1,147.7,0
12423.0,90,3,548.92,1
12427.0,62,2,586.08,1
12428.0,33,6,6580.52,2
12429.0,455,1,1281.5,0
12431.0,3,7,3055.05,2
12433.0,90,5,9033.92,2
12436.0,336,1,509.01,0
12437.0,10,7,2040.81,2
12441.0,486,1,173.55,0
12442.0,182,1,172.06,0
12444.0,1,2,1636.08,3
12447.0,68,1,476.49,0
12449.0,93,3,2724.58,1
12450.0,187,1,96.0,0
12451.0,215,2,4927.87,1
12455.0,187,3,477.46000000000004,1
12457.0,245,1,196.35,0
12461.0,126,2,826.88,1
12462.0,100,1,762.11,0
12463.0,7,1,350.57,3
12464.0,284,1,213.89999999999998,0
12468.0,219,1,508.95000000000005,0
12471.0,152,12,10274.57,2
12472.0,153,2,1899.38,1
12473.0,61,3,1716.01,1
12474.0,4,3,1179.64,3
12476.0,220,1,311.2,0
12477.0,39,2,3415.19,1
12478.0,182,1,680.99,0
12480.0,30,2,1952.93,1
12481.0,163,3,2070.23,1
12483.0,36,4,1185.46,1
12484.0,153,3,2007.3400000000001,1
12489.0,163,1,334.93,0
12490.0,97,4,2463.06,1
12491.0,334,1,460.40000000000003,0
12492.0,154,1,136.82,0
12494.0,338,2,210.82,0
12500.0,71,3,745.03,1
12501.0,163,1,2169.39,1
12502.0,189,4,3021.07,1
12504.0,91,1,449.4,0
12507.0,157,1,46.75,0
12508.0,61,1,274.8,0
12512.0,245,2,132.18,0
12516.0,5,1,583.2,3
12517.0,30,4,2064.4,1
12518.0,1,3,1207.16,3
12519.0,154,1,330.84,0
12520.0,38,1,987.42,1
12523.0,10,3,398.7,3
12524.0,71,4,2962.6,1
12526.0,90,2,797.38,1
12528.0,130,2,552.64,1
12530.0,31,3,1244.68,1
12532.0,91,1,349.83000000000004,0
12534.0,337,1,1089.18,0
12535.0,93,2,716.35,1
12536.0,31,1,4279.71,1
12538.0,61,1,363.95,0
12539.0,71,1,1715.85,1
12540.0,40,8,5047.38,2
12541.0,61,2,757.44,1
12544.0,275,1,372.7,0
12547.0,252,1,159.4,0
12552.0,334,1,120.0,0
12553.0,1,4,1356.57,3
12556.0,34,1,308.75,0
12557.0,40,3,8183.46,2
12558.0,302,1,269.96,0
12559.0,312,1,75.60000000000001,0
12560.0,243,1,697.7,0
