Date,Revenue,Day,Month,Year,Weekday
2010-01-12,46192.49,12,1,2010,1
2010-02-12,47197.57,12,2,2010,4
2010-03-12,23876.63,12,3,2010,4
2010-05-12,31361.28,12,5,2010,2
2010-06-12,31009.33,12,6,2010,5
2010-07-12,53730.96,12,7,2010,0
2010-08-12,39094.2,12,8,2010,3
2010-09-12,38193.91,12,9,2010,6
2010-10-12,33488.38,12,10,2010,1
2010-12-12,17102.35,12,12,2010,6
2011-01-02,26358.7,2,1,2011,6
2011-01-03,23621.59,3,1,2011,0
2011-01-04,24487.9,4,1,2011,1
2011-01-05,6958.11,5,1,2011,2
2011-01-06,15380.39,6,1,2011,3
2011-01-07,12146.44,7,1,2011,4
2011-01-08,19778.12,8,1,2011,5
2011-01-09,37358.62,9,1,2011,6
2011-01-11,29069.56,11,1,2011,1
2011-01-12,44405.37,12,1,2011,2
2011-02-02,17091.15,2,2,2011,2
2011-02-03,18666.14,3,2,2011,3
2011-02-06,28078.91,6,2,2011,6
2011-02-08,20272.0,8,2,2011,1
2011-02-09,30203.86,9,2,2011,2
2011-02-10,11479.98,10,2,2011,3
2011-02-11,38536.44,11,2,2011,4
2011-02-12,44526.1,12,2,2011,5
2011-03-02,22171.9,2,3,2011,2
2011-03-03,32818.19,3,3,2011,3
2011-03-04,6872.53,4,3,2011,4
2011-03-05,28877.21,5,3,2011,5
2011-03-06,15024.11,6,3,2011,6
2011-03-07,5972.7300000000005,7,3,2011,0
2011-03-08,26572.83,8,3,2011,1
2011-03-10,62143.07,10,3,2011,3
2011-03-11,60536.090000000004,11,3,2011,4
2011-04-01,12105.11,1,4,2011,4
2011-04-02,18087.96,2,4,2011,5
2011-04-03,17302.55,3,4,2011,6
2011-04-04,28998.010000000002,4,4,2011,0
2011-04-05,27509.81,5,4,2011,1
2011-04-07,30941.37,7,4,2011,3
2011-04-08,62074.19,8,4,2011,4
2011-04-09,16930.43,9,4,2011,5
2011-04-10,38532.090000000004,10,4,2011,6
2011-04-11,55716.47,11,4,2011,0
2011-04-12,20232.0,12,4,2011,1
2011-05-01,28799.43,1,5,2011,6
2011-05-04,28667.42,4,5,2011,2
2011-05-05,25191.79,5,5,2011,3
2011-05-06,25423.760000000002,6,5,2011,4
2011-05-07,25988.510000000002,7,5,2011,5
2011-05-08,19703.95,8,5,2011,6
2011-05-09,35439.91,9,5,2011,0
2011-05-10,73975.56999999999,10,5,2011,1
2011-05-12,58081.090000000004,12,5,2011,3
2011-06-01,34343.79,1,6,2011,2
2011-06-02,3439.67,2,6,2011,3
2011-06-03,9951.67,3,6,2011,4
2011-06-04,12698.32,4,6,2011,5
2011-06-05,30783.33,5,6,2011,6
2011-06-06,16269.03,6,6,2011,0
2011-06-07,22934.22,7,6,2011,1
2011-06-09,25466.97,9,6,2011,3
2011-06-10,60258.53,10,6,2011,4
2011-06-11,42508.590000000004,11,6,2011,5
2011-06-12,45989.66,12,6,2011,6
2011-07-01,23797.79,1,7,2011,4
2011-07-02,23382.97,2,7,2011,5
2011-07-03,20247.85,3,7,2011,6
2011-07-04,16780.32,4,7,2011,0
2011-07-06,33807.85,6,7,2011,2
2011-07-07,27860.38,7,7,2011,3
2011-07-08,7541.91,8,7,2011,4
2011-07-09,21967.420000000002,9,7,2011,5
2011-07-10,49089.47,10,7,2011,6
2011-07-11,28602.73,11,7,2011,0
2011-07-12,69230.6,12,7,2011,1
2011-08-02,14153.34,2,8,2011,1
2011-08-03,22184.11,3,8,2011,2
2011-08-04,22673.91,4,8,2011,3
2011-08-05,18731.98,5,8,2011,4
2011-08-06,30122.23,6,8,2011,5
2011-08-07,17538.5,7,8,2011,6
2011-08-08,19743.98,8,8,2011,0
2011-08-09,23048.38,9,8,2011,1
2011-08-11,38151.91,11,8,2011,3
2011-08-12,50395.96,12,8,2011,4
2011-09-01,15590.68,1,9,2011,3
2011-09-02,11910.83,2,9,2011,4
2011-09-03,20320.23,3,9,2011,5
2011-09-05,21608.16,5,9,2011,0
2011-09-06,42862.8,6,9,2011,1
2011-09-08,25949.920000000002,8,9,2011,3
2011-09-09,25082.86,9,9,2011,4
2011-09-10,12215.51,10,9,2011,5
2011-09-11,61241.58,11,9,2011,6
2011-09-12,184329.66,12,9,2011,0
2011-10-01,15330.83,1,10,2011,5
2011-10-02,14155.36,2,10,2011,6
2011-10-03,24429.77,3,10,2011,0
2011-10-04,9879.75,4,10,2011,1
2011-10-05,29807.25,5,10,2011,2
2011-10-06,58245.12,6,10,2011,3
2011-10-07,5959.54,7,10,2011,4
2011-10-08,19853.41,8,10,2011,5
2011-10-10,42962.8,10,10,2011,0
2011-10-11,70373.03,11,10,2011,1
2011-11-01,60243.73,1,11,2011,1
2011-11-02,18579.96,2,11,2011,2
2011-11-03,20894.75,3,11,2011,3
2011-11-04,20179.7,4,11,2011,4
2011-11-05,31848.3,5,11,2011,5
2011-11-07,20008.83,7,11,2011,0
2011-11-08,54325.27,8,11,2011,1
2011-11-09,35206.92,9,11,2011,2
2011-11-10,46401.14,10,11,2011,3
2011-11-11,36932.07,11,11,2011,4
2011-12-01,17124.74,1,12,2011,3
2011-12-04,23988.6,4,12,2011,6
2011-12-05,59827.74,5,12,2011,0
2011-12-06,12397.09,6,12,2011,1
2011-12-07,17938.49,7,12,2011,2
2011-12-08,17970.170000000002,8,12,2011,3
2011-12-09,27777.36,9,12,2011,4
2011-12-10,27655.2,10,12,2011,5
